S0		A0		S1		S2		S3		S4		A1		A2		A3		A4	
316  Points		313  Points		263  Points		183  Points		155  Points		106  Points		286  Points		227  Points		159  Points		122  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
4.09727	3.10643	3.95437	2.93558	6.42367	4.87873	7.90241	6.00541	8.72177	6.65279			5.27155	4.01816	7.37949	5.60976	8.85413	6.74208		
4.12621	3.10304	3.98792	2.93701	6.44971	4.85877	7.95321	5.99496	8.76492	6.63124			5.29646	4.00429	7.41434	5.59049	8.88866	6.71334		
4.15523	3.09977	4.02144	2.9384	6.47559	4.83902	8.00374	5.98448	8.80842	6.61031			5.32146	3.9907	7.44885	5.57128	8.92353	6.68531		
4.18433	3.09661	4.05495	2.93976	6.50131	4.81947	8.05397	5.97395	8.85228	6.58998			5.34654	3.9774	7.48302	5.55213	8.95873	6.65797		
4.2135	3.09355	4.08844	2.94108	6.5269	4.80012	8.10388	5.96335	8.8965	6.57024			5.3717	3.96436	7.51683	5.53302	8.99426	6.63131		
4.24275	3.09059	4.12192	2.94237	6.55235	4.78099	8.15345	5.95266	8.94109	6.55107			5.39694	3.95159	7.55031	5.51396	9.03011	6.60531		
4.27207	3.08773	4.15538	2.94364	6.57769	4.76206	8.20265	5.94187	8.98604	6.53248			5.42227	3.93908	7.58344	5.49495	9.06627	6.57994		
4.30146	3.08497	4.18882	2.94487	6.60292	4.74336	8.25145	5.93097	9.03137	6.51445			5.44768	3.92683	7.61623	5.47599	9.10274	6.55519		
4.33092	3.0823	4.22225	2.94607	6.62806	4.72487	8.29984	5.91994	9.07709	6.49696			5.47318	3.91482	7.64868	5.45708	9.13951	6.53103		
4.36045	3.07971	4.25567	2.94724	6.6531	4.7066	8.3478	5.90876	9.12318	6.48002			5.49876	3.90307	7.6808	5.43822	9.17657	6.50745		
4.39004	3.07721	4.28907	2.94839	6.67806	4.68854	8.39529	5.89744	9.16967	6.46361			5.52443	3.89155	7.71259	5.41941	9.21392	6.48442		
4.4197	3.07479	4.32245	2.94951	6.70295	4.67071	8.44231	5.88595	9.21654	6.44771			5.55019	3.88026	7.74405	5.40066	9.25153	6.46193		
4.44941	3.07245	4.35582	2.9506	6.72778	4.6531	8.48884	5.8743	9.26381	6.43233			5.57603	3.86921	7.7752	5.38197	9.28939	6.43995		
4.47919	3.07019	4.38917	2.95166	6.75255	4.63572	8.53487	5.86247	9.31147	6.41745			5.60197	3.85838	7.80603	5.36334	9.32751	6.41846		
4.50903	3.068	4.42251	2.95271	6.77727	4.61855	8.58037	5.85046	9.35952	6.40305			5.62799	3.84776	7.83655	5.34477	9.36585	6.39745		
4.53892	3.06588	4.45583	2.95372	6.80194	4.6016	8.62534	5.83826	9.40796	6.38914			5.6541	3.83737	7.86678	5.32628	9.40441	6.37689		
4.56887	3.06382	4.48914	2.95471	6.82658	4.58487	8.66977	5.82587	9.4568	6.37568			5.6803	3.82718	7.89671	5.30785	9.44318	6.35677		
4.59887	3.06184	4.52244	2.95568	6.85119	4.56836	8.71365	5.8133	9.50601	6.36268			5.70658	3.8172	7.92636	5.2895	9.48214	6.33707		
4.62893	3.05992	4.55572	2.95663	6.87576	4.55207	8.75697	5.80054	9.55561	6.35011			5.73296	3.80742	7.95574	5.27124	9.52127	6.31776		
4.65904	3.05805	4.58899	2.95756	6.90032	4.536	8.79973	5.78759	9.60558	6.33797			5.75942	3.79784	7.98485	5.25305	9.56057	6.29883		
4.6892	3.05625	4.62224	2.95846	6.92486	4.52014	8.84194	5.77446	9.65591	6.32624			5.78597	3.78845	8.01371	5.23495	9.6	6.28027		
4.7194	3.0545	4.65548	2.95934	6.94939	4.50449	8.88358	5.76114	9.70659	6.3149			5.81261	3.77925	8.04231	5.21695	9.63957	6.26205		
4.74966	3.05281	4.68871	2.9602	6.97392	4.48906	8.92466	5.74765	9.75762	6.30394			5.83934	3.77024	8.07068	5.19904	9.67925	6.24415		
4.77996	3.05117	4.72192	2.96104	6.99844	4.47384	8.96518	5.73399	9.80898	6.29334			5.86615	3.7614	8.09881	5.18122	9.71902	6.22656		
4.81031	3.04959	4.75512	2.96186	7.02296	4.45882	9.00515	5.72017	9.86065	6.2831			5.89305	3.75274	8.12673	5.16352	9.75888	6.20926		
4.8407	3.04805	4.78831	2.96267	7.04748	4.44402	9.04457	5.70618	9.91263	6.27318			5.92004	3.74426	8.15443	5.14591	9.7988	6.19224		
4.87114	3.04656	4.82148	2.96345	7.07201	4.42941	9.08346	5.69205	9.96489	6.26358			5.94711	3.73594	8.18192	5.12842	9.83876	6.17548		
4.90162	3.04512	4.85464	2.96422	7.09656	4.41501	9.12181	5.67777	10.0174	6.25427			5.97427	3.72779	8.20922	5.11104	9.87876	6.15897		
4.93214	3.04372	4.88779	2.96497	7.12112	4.40081	9.15963	5.66336					6.00151	3.71979	8.23634	5.09378	9.91878	6.14268		
4.9627	3.04236	4.92093	2.9657	7.14569	4.38681	9.19694	5.64883					6.02883	3.71196	8.26328	5.07663	9.95879	6.12661		
4.99329	3.04105	4.95405	2.96641	7.17029	4.37301	9.23375	5.63418					6.05624	3.70428	8.29004	5.05961	9.99879	6.11074		
5.02393	3.03978	4.98716	2.96711	7.19491	4.3594	9.27007	5.61942					6.08374	3.69675	8.31665	5.04271	10.0388	6.09506		
5.0546	3.03854	5.02026	2.96779	7.21955	4.34598	9.30591	5.60457					6.11131	3.68937	8.3431	5.02594				
5.08531	3.03734	5.05335	2.96845	7.24422	4.33275	9.34127	5.58962					6.13897	3.68213	8.36941	5.0093				
5.11606	3.03618	5.08642	2.96911	7.26892	4.3197	9.37618	5.5746					6.16671	3.67504	8.39558	4.99279				
5.14684	3.03506	5.11948	2.96974	7.29365	4.30684	9.41065	5.5595					6.19453	3.66808	8.42162	4.97641				
5.17766	3.03397	5.15253	2.97036	7.31841	4.29417	9.44469	5.54434					6.22243	3.66126	8.44754	4.96017				
5.2085	3.03291	5.18557	2.97097	7.34321	4.28167	9.4783	5.52913					6.2504	3.65457	8.47334	4.94406				
5.23938	3.03188	5.2186	2.97156	7.36805	4.26935	9.51151	5.51387					6.27846	3.64801	8.49903	4.92809				
5.27029	3.03088	5.25162	2.97214	7.39293	4.2572	9.54433	5.49858					6.30659	3.64157	8.52462	4.91227				
5.30124	3.02992	5.28462	2.9727	7.41784	4.24523	9.57676	5.48325					6.33481	3.63526	8.55012	4.89658				
5.33221	3.02898	5.31762	2.97326	7.4428	4.23343	9.60883	5.46791					6.36309	3.62907	8.57552	4.88103				
5.36321	3.02807	5.3506	2.9738	7.4678	4.22179	9.64054	5.45254					6.39146	3.623	8.60084	4.86562				
5.39424	3.02719	5.38357	2.97432	7.49284	4.21032	9.67191	5.43718					6.41989	3.61705	8.62608	4.85036				
5.42529	3.02633	5.41654	2.97484	7.51792	4.19901	9.70295	5.42181					6.44841	3.61121	8.65125	4.83524				
5.45638	3.0255	5.44949	2.97534	7.54306	4.18787	9.73366	5.40644					6.47699	3.60548	8.67635	4.82026				
5.48749	3.02469	5.48243	2.97584	7.56824	4.17688	9.76407	5.39109					6.50565	3.59985	8.70139	4.80543				
5.51862	3.02391	5.51536	2.97632	7.59346	4.16605	9.79418	5.37576					6.53438	3.59434	8.72638	4.79074				
5.54979	3.02315	5.54828	2.97679	7.61874	4.15537	9.824	5.36045					6.56318	3.58892	8.75131	4.7762				
5.58097	3.02241	5.58119	2.97724	7.64407	4.14484	9.85355	5.34517					6.59205	3.58361	8.77619	4.7618				
5.61218	3.02169	5.61409	2.97769	7.66944	4.13446	9.88284	5.32993					6.62099	3.5784	8.80102	4.74754				
5.64342	3.021	5.64698	2.97813	7.69487	4.12423	9.91187	5.31473					6.65	3.57329	8.82582	4.73342				
5.67467	3.02032	5.67986	2.97856	7.72035	4.11415	9.94066	5.29957					6.67908	3.56827	8.85058	4.71945				
5.70595	3.01967	5.71273	2.97898	7.74588	4.1042	9.96921	5.28446					6.70822	3.56334	8.87531	4.70562				
5.73725	3.01903	5.74559	2.97939	7.77146	4.0944	9.99754	5.2694					6.73743	3.55851	8.90002	4.69194				
5.76857	3.01841	5.77845	2.97978	7.79709	4.08474	10.0257	5.2544					6.76671	3.55376	8.92469	4.67839				
5.79992	3.01781	5.81129	2.98017	7.82278	4.07521							6.79605	3.5491	8.94935	4.66499				
5.83128	3.01722	5.84412	2.98056	7.84852	4.06581							6.82546	3.54453	8.97399	4.65172				
5.86266	3.01666	5.87695	2.98093	7.87432	4.05655							6.85493	3.54004	8.99861	4.6386				
5.89407	3.01611	5.90976	2.98129	7.90017	4.04742							6.88446	3.53563	9.02322	4.62561				
5.92549	3.01557	5.94257	2.98165	7.92607	4.03841							6.91405	3.5313	9.04783	4.61277				
5.95693	3.01505	5.97537	2.98199	7.95203	4.02953							6.94371	3.52706	9.07242	4.60006				
5.98839	3.01455	6.00815	2.98233	7.97804	4.02078							6.97342	3.52288	9.09701	4.58748				
6.01986	3.01406	6.04094	2.98266	8.00411	4.01215							7.0032	3.51879	9.1216	4.57504				
6.05136	3.01358	6.07371	2.98299	8.03023	4.00363							7.03303	3.51476	9.14619	4.56274				
6.08287	3.01312	6.10647	2.9833	8.05641	3.99524							7.06293	3.51081	9.17079	4.55056				
6.1144	3.01266	6.13923	2.98361	8.08265	3.98696							7.09288	3.50693	9.19538	4.53852				
6.14594	3.01223	6.17197	2.98391	8.10894	3.9788							7.12289	3.50312	9.21999	4.52661				
6.1775	3.0118	6.20471	2.98421	8.13528	3.97075							7.15295	3.49938	9.24461	4.51483				
6.20907	3.01139	6.23744	2.9845	8.16168	3.96281							7.18307	3.4957	9.26923	4.50318				
6.24066	3.01099	6.27017	2.98478	8.18814	3.95498							7.21325	3.49209	9.29387	4.49166				
6.27226	3.01059	6.30289	2.98505	8.21465	3.94726							7.24348	3.48854	9.31852	4.48026				
6.30388	3.01021	6.33559	2.98532	8.24122	3.93964							7.27376	3.48505	9.34319	4.46898				
6.33552	3.00985	6.36829	2.98558	8.26784	3.93213							7.3041	3.48163	9.36788	4.45783				
6.36716	3.00949	6.40099	2.98584	8.29451	3.92472							7.33448	3.47826	9.39258	4.44681				
6.39882	3.00914	6.43367	2.98609	8.32125	3.91741							7.36492	3.47495	9.41731	4.4359				
6.43049	3.0088	6.46635	2.98633	8.34803	3.9102							7.39541	3.4717	9.44206	4.42512				
6.46218	3.00847	6.49903	2.98657	8.37488	3.90309							7.42596	3.46851	9.46683	4.41445				
6.49388	3.00815	6.53169	2.9868	8.40177	3.89608							7.45655	3.46537	9.49162	4.4039				
6.52559	3.00783	6.56435	2.98703	8.42872	3.88916							7.48719	3.46229	9.51644	4.39347				
6.55731	3.00753	6.597	2.98725	8.45573	3.88233							7.51787	3.45925	9.54129	4.38316				
6.58904	3.00723	6.62964	2.98747	8.48279	3.8756							7.54861	3.45627	9.56616	4.37295				
6.62079	3.00695	6.66228	2.98768	8.5099	3.86895							7.57939	3.45334	9.59107	4.36287				
6.65254	3.00667	6.69491	2.98789	8.53707	3.8624							7.61022	3.45046	9.616	4.35289				
6.68431	3.0064	6.72754	2.98809	8.56429	3.85593							7.6411	3.44763	9.64096	4.34302				
6.71609	3.00613	6.76016	2.98829	8.59157	3.84955							7.67202	3.44485	9.66595	4.33326				
6.74788	3.00587	6.79277	2.98848	8.61889	3.84325							7.70298	3.44211	9.69098	4.32361				
6.77968	3.00562	6.82538	2.98867	8.64627	3.83704							7.73399	3.43942	9.71603	4.31407				
6.81149	3.00538	6.85798	2.98886	8.67371	3.83091							7.76505	3.43678	9.74112	4.30463				
6.84331	3.00514	6.89057	2.98904	8.70119	3.82486							7.79614	3.43418	9.76625	4.29529				
6.87513	3.00491	6.92316	2.98921	8.72873	3.81889							7.82728	3.43162	9.7914	4.28606				
6.90697	3.00469	6.95574	2.98938	8.75632	3.813							7.85847	3.4291	9.8166	4.27693				
6.93882	3.00447	6.98832	2.98955	8.78396	3.80719							7.88969	3.42663	9.84183	4.26791				
6.97067	3.00426	7.02089	2.98971	8.81165	3.80145							7.92095	3.42419	9.86709	4.25898				
7.00254	3.00405	7.05345	2.98987	8.8394	3.79579							7.95226	3.4218	9.89239	4.25015				
7.03441	3.00385	7.08601	2.99003	8.86719	3.7902							7.9836	3.41944	9.91773	4.24141				
7.06629	3.00366	7.11857	2.99018	8.89503	3.78469							8.01498	3.41713	9.94311	4.23278				
7.09818	3.00347	7.15112	2.99033	8.92293	3.77924							8.0464	3.41485	9.96852	4.22423				
7.13008	3.00328	7.18366	2.99047	8.95087	3.77387							8.07787	3.41261	9.99397	4.21578				
7.16198	3.0031	7.2162	2.99062	8.97887	3.76857							8.10936	3.4104	10.0195	4.20743				
7.1939	3.00292	7.24874	2.99075	9.00691	3.76333							8.1409	3.40823						
7.22582	3.00275	7.28127	2.99089	9.035	3.75816							8.17247	3.4061						
7.25775	3.00259	7.31379	2.99102	9.06314	3.75306							8.20408	3.404						
7.28968	3.00243	7.34631	2.99115	9.09133	3.74802							8.23572	3.40193						
7.32162	3.00227	7.37882	2.99127	9.11957	3.74305							8.2674	3.39989						
7.35357	3.00212	7.41133	2.9914	9.14786	3.73814							8.29912	3.39789						
7.38553	3.00197	7.44384	2.99152	9.17619	3.73329							8.33087	3.39592						
7.41749	3.00182	7.47634	2.99163	9.20457	3.7285							8.36265	3.39398						
7.44946	3.00168	7.50884	2.99175	9.23299	3.72378							8.39447	3.39207						
7.48143	3.00154	7.54133	2.99186	9.26147	3.71911							8.42632	3.39019						
7.51341	3.00141	7.57381	2.99197	9.28999	3.7145							8.4582	3.38834						
7.5454	3.00128	7.6063	2.99207	9.31855	3.70995							8.49012	3.38652						
7.57739	3.00115	7.63878	2.99218	9.34716	3.70546							8.52206	3.38473						
7.60939	3.00103	7.67125	2.99228	9.37582	3.70102							8.55404	3.38296						
7.6414	3.00091	7.70372	2.99238	9.40452	3.69664							8.58605	3.38122						
7.67341	3.00079	7.73619	2.99247	9.43326	3.69232							8.61809	3.37951						
7.70542	3.00067	7.76865	2.99257	9.46205	3.68804							8.65016	3.37783						
7.73744	3.00056	7.80111	2.99266	9.49088	3.68382							8.68226	3.37617						
7.76947	3.00045	7.83357	2.99275	9.51976	3.67965							8.71439	3.37453						
7.8015	3.00035	7.86602	2.99284	9.54868	3.67553							8.74655	3.37292						
7.83353	3.00025	7.89847	2.99292	9.57764	3.67147							8.77874	3.37134						
7.86557	3.00015	7.93091	2.99301	9.60664	3.66745							8.81095	3.36978						
7.89762	3.00005	7.96335	2.99309	9.63569	3.66348							8.84319	3.36824						
7.92967	2.99995	7.99579	2.99317	9.66478	3.65956							8.87547	3.36672						
7.96172	2.99986	8.02823	2.99324	9.69391	3.65568							8.90776	3.36523						
7.99378	2.99977	8.06066	2.99332	9.72308	3.65186							8.94009	3.36376						
8.02584	2.99968	8.09308	2.99339	9.75229	3.64808							8.97244	3.36231						
8.05791	2.9996	8.12551	2.99347	9.78155	3.64434							9.00482	3.36089						
8.08998	2.99951	8.15793	2.99354	9.81084	3.64065							9.03722	3.35948						
8.12206	2.99943	8.19035	2.9936	9.84017	3.63701							9.06965	3.3581						
8.15414	2.99936	8.22276	2.99367	9.86955	3.6334							9.1021	3.35673						
8.18622	2.99928	8.25518	2.99374	9.89896	3.62985							9.13458	3.35538						
8.21831	2.9992	8.28758	2.9938	9.92841	3.62633							9.16709	3.35406						
8.2504	2.99913	8.31999	2.99386	9.9579	3.62285							9.19961	3.35275						
8.28249	2.99906	8.35239	2.99392	9.98743	3.61942							9.23216	3.35147						
8.31459	2.99899	8.38479	2.99398	10.017	3.61602							9.26474	3.3502						
8.34669	2.99892	8.41719	2.99404									9.29734	3.34895						
8.3788	2.99886	8.44959	2.9941									9.32996	3.34771						
8.41091	2.99879	8.48198	2.99415									9.3626	3.3465						
8.44302	2.99873	8.51437	2.99421									9.39527	3.3453						
8.47513	2.99867	8.54676	2.99426									9.42796	3.34412						
8.50725	2.99861	8.57914	2.99431									9.46067	3.34295						
8.53937	2.99855	8.61152	2.99436									9.4934	3.34181						
8.57149	2.9985	8.6439	2.99441									9.52615	3.34067						
8.60362	2.99844	8.67628	2.99446									9.55892	3.33956						
8.63575	2.99839	8.70866	2.9945									9.59172	3.33846						
8.66788	2.99834	8.74103	2.99455									9.62453	3.33737						
8.70002	2.99829	8.7734	2.99459									9.65737	3.3363						
8.73216	2.99824	8.80577	2.99463									9.69022	3.33525						
8.7643	2.99819	8.83813	2.99468									9.7231	3.33421						
8.79644	2.99814	8.8705	2.99472									9.75599	3.33318						
8.82859	2.9981	8.90286	2.99476									9.7889	3.33217						
8.86074	2.99805	8.93522	2.9948									9.82183	3.33117						
8.89289	2.99801	8.96758	2.99483									9.85478	3.33018						
8.92504	2.99797	8.99993	2.99487									9.88775	3.32921						
8.95719	2.99793	9.03229	2.99491									9.92074	3.32825						
8.98935	2.99789	9.06464	2.99494									9.95374	3.32731						
9.02151	2.99785	9.09699	2.99498									9.98677	3.32637						
9.05367	2.99781	9.12934	2.99501									10.0198	3.32545						
9.08584	2.99777	9.16169	2.99504																
9.118	2.99774	9.19403	2.99508																
9.15017	2.9977	9.22637	2.99511																
9.18234	2.99767	9.25872	2.99514																
9.21451	2.99763	9.29106	2.99517																
9.24669	2.9976	9.32339	2.9952																
9.27886	2.99757	9.35573	2.99522																
9.31104	2.99754	9.38807	2.99525																
9.34322	2.99751	9.4204	2.99528																
9.3754	2.99748	9.45273	2.99531																
9.40759	2.99745	9.48506	2.99533																
9.43977	2.99742	9.51739	2.99536																
9.47196	2.99739	9.54972	2.99538																
9.50415	2.99737	9.58204	2.9954																
9.53633	2.99734	9.61437	2.99543																
9.56853	2.99732	9.64669	2.99545																
9.60072	2.99729	9.67902	2.99547																
9.63291	2.99727	9.71134	2.99549																
9.66511	2.99725	9.74366	2.99551																
9.6973	2.99722	9.77597	2.99553																
9.7295	2.9972	9.80829	2.99555																
9.7617	2.99718	9.84061	2.99557																
9.7939	2.99716	9.87292	2.99559																
9.8261	2.99714	9.90524	2.99561																
9.85831	2.99712	9.93755	2.99563																
9.89051	2.9971	9.96986	2.99565																
9.92272	2.99708	10.0022	2.99566																
9.95493	2.99706																		
9.98713	2.99704																		
10.0193	2.99702																		
