S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.0522533	1.00256	0.00874347	0.123912	0.548312	10.648	0.679838	13.2866	1.1005	21.1697	1.65017	32.624	0.280469	5.42342	0.825353	16.3202	1.34969	25.9535	1.37725	27.147	1.92522	37.8141
0.0541825	1.0024	0.00921104	0.127059	0.548192	10.2606	0.680203	12.8099	1.10054	20.4117	1.65018	31.4237	0.280878	5.23566	0.825381	15.72	1.34967	25.0233	1.37742	26.1541	1.92523	36.4316
0.0561108	1.00225	0.0096894	0.130187	0.548068	9.90022	0.680579	12.3669	1.10058	19.7061	1.65019	30.3086	0.2813	5.06122	0.825409	15.1625	1.34965	24.1574	1.3776	25.2316	1.92525	35.1466
0.058038	1.00208	0.0101783	0.133295	0.547941	9.56406	0.680968	11.9542	1.10062	19.0477	1.65021	29.27	0.281736	4.89873	0.825439	14.6432	1.34963	23.3494	1.37778	24.3723	1.92527	33.9493
0.0599644	1.00191	0.010678	0.136386	0.547811	9.24979	0.68137	11.5688	1.10066	18.432	1.65022	28.3002	0.282185	4.74704	0.82547	14.1584	1.34961	22.5936	1.37797	23.5699	1.92529	32.8308
0.0618897	1.00174	0.0111879	0.139458	0.547679	8.95534	0.681783	11.2081	1.1007	17.8549	1.65024	27.3926	0.282649	4.60512	0.825502	13.7047	1.34959	21.8853	1.37816	22.8189	1.92531	31.7837
0.0638141	1.00155	0.0117081	0.142509	0.547543	8.67888	0.682208	10.8697	1.10075	17.3129	1.65025	26.5415	0.283125	4.47208	0.825535	13.2792	1.34957	21.22	1.37836	22.1146	1.92533	30.8014
0.0657372	1.00137	0.0122386	0.145543	0.547405	8.41881	0.682645	10.5518	1.10079	16.8029	1.65027	25.7417	0.283615	4.34712	0.825569	12.8794	1.34955	20.5939	1.37857	21.4528	1.92535	29.8781
0.0676594	1.00117	0.0127791	0.148556	0.547265	8.17372	0.683094	10.2525	1.10084	16.3222	1.65028	24.9887	0.284117	4.22954	0.825604	12.503	1.34953	20.0037	1.37878	20.8297	1.92537	29.0084
0.0695803	1.00097	0.0133295	0.15155	0.547122	7.94235	0.683554	9.97021	1.10089	15.8682	1.6503	24.2785	0.284633	4.11873	0.82564	12.148	1.34951	19.4464	1.379	20.242	1.92539	28.1881
0.0715	1.00077	0.0138897	0.154524	0.546977	7.72357	0.684026	9.70357	1.10094	15.4389	1.65032	23.6076	0.285162	4.01413	0.825678	11.8127	1.34949	18.9192	1.37922	19.6868	1.92542	27.4128
0.0734186	1.00056	0.0144595	0.157478	0.54683	7.51639	0.684509	9.45133	1.10099	15.0322	1.65034	22.9728	0.285703	3.91524	0.825716	11.4954	1.34948	18.4199	1.37945	19.1615	1.92544	26.6791
0.0753358	1.00034	0.0150388	0.160411	0.546681	7.3199	0.685004	9.21234	1.10105	14.6465	1.65036	22.3712	0.286257	3.82163	0.825756	11.1948	1.34946	17.9463	1.37968	18.6637	1.92546	25.9837
0.0772518	1.00012	0.0156275	0.163324	0.54653	7.1333	0.685509	8.98561	1.1011	14.2802	1.65037	21.8004	0.286824	3.73288	0.825796	10.9095	1.34944	17.4964	1.37992	18.1914	1.92549	25.3236
0.0791665	0.999892	0.0162255	0.166216	0.546377	6.95586	0.686026	8.77022	1.10116	13.9317	1.65039	21.258	0.287403	3.64865	0.825838	10.6385	1.34942	17.0684	1.38016	17.7426	1.92551	24.6962
0.0810798	0.999657	0.0168326	0.169087	0.546223	6.78692	0.686553	8.56535	1.10121	13.5999	1.65041	20.742	0.287994	3.5686	0.825881	10.3806	1.3494	16.661	1.38041	17.3156	1.92554	24.0993
0.0829916	0.999417	0.0174486	0.171938	0.546067	6.62589	0.687091	8.37026	1.10127	13.2836	1.65043	20.2504	0.288597	3.49245	0.825925	10.135	1.34938	16.2725	1.38067	16.9089	1.92556	23.5305
