S0		A0		S1		S2		S3		S4		A1		A2		A3		A4		A5	
2000  Points		1994  Points		1752  Points		1373  Points		906  Points		724  Points		1851  Points		1595  Points		1114  Points		646  Points		446  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.454535	0.657604	0.337257	0.47525	0.76679	1.11037	1.08081	1.56584	1.23473	1.78672	1.69101	2.45194	0.643682	0.931801	0.943934	1.36871	1.4032	2.03043	1.64829	2.38948	1.97194	2.81611
0.455182	0.656704	0.338329	0.475466	0.768134	1.10921	1.08217	1.56342	1.23588	1.78338	1.69128	2.44549	0.644665	0.930621	0.944794	1.36613	1.40358	2.02532	1.64959	2.38469	1.97224	2.80879
0.45583	0.65581	0.339401	0.475681	0.769478	1.10806	1.08352	1.56102	1.23703	1.78008	1.69156	2.43907	0.645646	0.929444	0.945656	1.36357	1.40396	2.02024	1.6509	2.37992	1.97254	2.80151
0.456478	0.654922	0.340473	0.475894	0.770819	1.10691	1.08487	1.55862	1.23819	1.77681	1.69184	2.43269	0.646625	0.928271	0.946521	1.36102	1.40434	2.01518	1.6522	2.37519	1.97284	2.79427
0.457127	0.65404	0.341545	0.476106	0.77216	1.10577	1.08621	1.55624	1.23936	1.77357	1.69211	2.42635	0.647601	0.9271	0.94739	1.3585	1.40473	2.01016	1.65351	2.37049	1.97314	2.78707
0.457776	0.653163	0.342616	0.476317	0.773499	1.10463	1.08756	1.55386	1.24054	1.77036	1.69239	2.42005	0.648574	0.925932	0.948262	1.35599	1.40511	2.00517	1.65482	2.36581	1.97345	2.77991
0.458427	0.652292	0.343688	0.476526	0.774836	1.10349	1.08889	1.55148	1.24172	1.76718	1.69268	2.41378	0.649546	0.924767	0.949137	1.3535	1.4055	2.00021	1.65614	2.36116	1.97375	2.77279
0.459077	0.651426	0.344759	0.476734	0.776172	1.10236	1.09023	1.54912	1.24292	1.76403	1.69296	2.40755	0.650515	0.923606	0.950015	1.35103	1.40589	1.99527	1.65745	2.35654	1.97406	2.76572
0.459729	0.650567	0.34583	0.476941	0.777507	1.10123	1.09156	1.54676	1.24412	1.76091	1.69324	2.40135	0.651481	0.922447	0.950896	1.34858	1.40628	1.99037	1.65876	2.35195	1.97437	2.75868
0.460381	0.649713	0.346901	0.477146	0.778839	1.10011	1.09289	1.54441	1.24533	1.75781	1.69353	2.39519	0.652445	0.921291	0.95178	1.34614	1.40667	1.98549	1.66008	2.34739	1.97468	2.75168
0.461034	0.648865	0.347972	0.477351	0.78017	1.09899	1.09421	1.54207	1.24655	1.75475	1.69381	2.38907	0.653407	0.920138	0.952667	1.34372	1.40707	1.98064	1.6614	2.34285	1.97499	2.74473
0.461687	0.648022	0.349043	0.477553	0.7815	1.09787	1.09553	1.53974	1.24778	1.75171	1.6941	2.38298	0.654366	0.918988	0.953557	1.34132	1.40746	1.97583	1.66272	2.33834	1.97531	2.73781
0.462342	0.647185	0.350113	0.477755	0.782828	1.09676	1.09684	1.53741	1.24902	1.74871	1.69439	2.37692	0.655323	0.91784	0.95445	1.33894	1.40786	1.97104	1.66404	2.33386	1.97562	2.73093
0.462997	0.646353	0.351184	0.477955	0.784154	1.09565	1.09815	1.53509	1.25026	1.74573	1.69468	2.3709	0.656277	0.916696	0.955347	1.33657	1.40826	1.96627	1.66537	2.3294	1.97594	2.72409
0.463653	0.645528	0.352254	0.478154	0.785479	1.09455	1.09946	1.53277	1.25152	1.74278	1.69497	2.36491	0.657229	0.915554	0.956246	1.33422	1.40866	1.96154	1.6667	2.32497	1.97626	2.71729
0.464309	0.644707	0.353324	0.478352	0.786802	1.09345	1.10076	1.53047	1.25278	1.73985	1.69526	2.35896	0.658179	0.914415	0.957148	1.33189	1.40906	1.95683	1.66802	2.32057	1.97657	2.71053
0.464967	0.643892	0.354394	0.478549	0.788123	1.09235	1.10206	1.52817	1.25405	1.73696	1.69555	2.35304	0.659126	0.91328	0.958053	1.32957	1.40946	1.95215	1.66935	2.31619	1.9769	2.7038
0.465625	0.643082	0.355464	0.478744	0.789442	1.09126	1.10336	1.52588	1.25533	1.73409	1.69585	2.34715	0.660071	0.912147	0.958961	1.32727	1.40986	1.9475	1.67068	2.31184	1.97722	2.69712
0.466283	0.642278	0.356534	0.478938	0.790759	1.09016	1.10465	1.52359	1.25662	1.73125	1.69614	2.3413	0.661014	0.911016	0.959872	1.32499	1.41027	1.94287	1.67202	2.30751	1.97754	2.69046
0.466943	0.641479	0.357604	0.479131	0.792075	1.08908	1.10594	1.52131	1.25792	1.72843	1.69644	2.33548	0.661954	0.909889	0.960785	1.32272	1.41068	1.93827	1.67335	2.30321	1.97787	2.68385
0.467604	0.640686	0.358673	0.479323	0.793389	1.08799	1.10722	1.51904	1.25922	1.72564	1.69674	2.3297	0.662892	0.908764	0.961702	1.32047	1.41108	1.9337	1.67469	2.29894	1.9782	2.67727
0.468265	0.639898	0.359742	0.479514	0.794701	1.08691	1.1085	1.51678	1.26054	1.72288	1.69704	2.32394	0.663828	0.907642	0.962621	1.31824	1.4115	1.92915	1.67603	2.29469	1.97848	2.67157
0.468927	0.639115	0.360811	0.479703	0.796011	1.08583	1.10978	1.51452	1.26186	1.72014	1.69734	2.31822	0.664761	0.906523	0.963544	1.31602	1.41191	1.92463	1.67737	2.29046	1.97873	2.66674
0.46959	0.638337	0.36188	0.479891	0.797319	1.08476	1.11105	1.51227	1.26319	1.71744	1.69764	2.31253	0.665692	0.905407	0.964469	1.31381	1.41232	1.92014	1.67871	2.28626	1.97893	2.66275
0.470254	0.637565	0.362949	0.480078	0.798626	1.08369	1.11232	1.51002	1.26453	1.71475	1.69795	2.30687	0.666621	0.904294	0.965396	1.31162	1.41274	1.91567	1.68005	2.28208	1.97909	2.65961
0.470919	0.636798	0.364018	0.480264	0.79993	1.08262	1.11358	1.50778	1.26588	1.71209	1.69825	2.30124	0.667548	0.903183	0.966327	1.30945	1.41315	1.91123	1.68139	2.27793	1.97921	2.6573
0.471585	0.636035	0.365086	0.480449	0.801232	1.08155	1.11485	1.50555	1.26724	1.70946	1.69856	2.29564	0.668472	0.902075	0.96726	1.30729	1.41357	1.90681	1.68274	2.2738	1.97929	2.65583
0.472251	0.635279	0.366155	0.480633	0.802533	1.08049	1.1161	1.50332	1.2686	1.70685	1.69887	2.29008	0.669394	0.90097	0.968196	1.30515	1.41399	1.90241	1.68409	2.26969	1.9794	2.65372
0.472918	0.634527	0.367223	0.480815	0.803831	1.07943	1.11736	1.5011	1.26997	1.70427	1.69918	2.28454	0.670314	0.899867	0.969135	1.30302	1.41441	1.89804	1.68543	2.26561	1.97951	2.65142
0.473587	0.63378	0.368291	0.480997	0.805128	1.07837	1.1186	1.49889	1.27136	1.70171	1.69949	2.27904	0.671232	0.898768	0.970077	1.3009	1.41483	1.8937	1.68679	2.26155	1.97968	2.64831
0.474256	0.633038	0.369359	0.481178	0.806422	1.07732	1.11985	1.49668	1.27275	1.69917	1.6998	2.27357	0.672147	0.897671	0.97102	1.2988	1.41526	1.88938	1.68814	2.25751	1.97988	2.64439
0.474926	0.632302	0.370427	0.481357	0.807715	1.07626	1.12109	1.49448	1.27414	1.69666	1.70011	2.26812	0.673061	0.896576	0.971967	1.29672	1.41568	1.88509	1.68949	2.2535	1.98013	2.63966
0.475597	0.63157	0.371495	0.481535	0.809005	1.07521	1.12233	1.49229	1.27555	1.69417	1.70042	2.26271	0.673972	0.895485	0.972916	1.29465	1.41611	1.88082	1.69085	2.24951	1.98043	2.63414
0.476269	0.630843	0.372563	0.481712	0.810293	1.07417	1.12356	1.4901	1.27696	1.69171	1.70074	2.25732	0.674881	0.894396	0.973868	1.29259	1.41654	1.87657	1.6922	2.24554	1.98077	2.62784
0.476941	0.630121	0.37363	0.481888	0.811579	1.07312	1.12479	1.48792	1.27839	1.68927	1.70106	2.25197	0.675788	0.89331	0.974823	1.29055	1.41697	1.87235	1.69356	2.24159	1.98111	2.62157
0.477615	0.629404	0.374697	0.482063	0.812863	1.07208	1.12602	1.48574	1.27982	1.68686	1.70137	2.24664	0.676692	0.892227	0.97578	1.28852	1.4174	1.86815	1.69492	2.23766	1.98145	2.61533
0.47829	0.628692	0.375765	0.482237	0.814145	1.07104	1.12724	1.48358	1.28126	1.68446	1.70169	2.24134	0.677595	0.891146	0.976739	1.2865	1.41783	1.86397	1.69628	2.23376	1.9818	2.60913
0.478965	0.627985	0.376832	0.48241	0.815425	1.07001	1.12846	1.48141	1.28271	1.68209	1.70202	2.23607	0.678495	0.890068	0.977701	1.2845	1.41827	1.85982	1.69764	2.22988	1.98214	2.60297
0.479642	0.627283	0.377898	0.482582	0.816703	1.06897	1.12968	1.47926	1.28416	1.67974	1.70234	2.23083	0.679394	0.888993	0.978666	1.28251	1.41871	1.85569	1.699	2.22602	1.98249	2.59683
0.480319	0.626585	0.378965	0.482753	0.817978	1.06794	1.13089	1.47711	1.28562	1.67742	1.70266	2.22562	0.68029	0.887921	0.979633	1.28053	1.41914	1.85158	1.70037	2.22218	1.98284	2.59073
0.480997	0.625892	0.380032	0.482923	0.819252	1.06691	1.1321	1.47496	1.2871	1.67511	1.70299	2.22044	0.681184	0.886851	0.980602	1.27857	1.41958	1.84749	1.70173	2.21836	1.98319	2.58467
0.481677	0.625204	0.381098	0.483092	0.820523	1.06588	1.13331	1.47282	1.28857	1.67283	1.70331	2.21528	0.682076	0.885784	0.981574	1.27662	1.42003	1.84343	1.7031	2.21457	1.98355	2.57863
0.482357	0.62452	0.382164	0.48326	0.821792	1.06486	1.13451	1.47069	1.29006	1.67057	1.70364	2.21015	0.682967	0.884719	0.982548	1.27468	1.42047	1.83939	1.70447	2.21079	1.9839	2.57263
0.483038	0.623842	0.383231	0.483426	0.823058	1.06384	1.13571	1.46857	1.29156	1.66833	1.70397	2.20505	0.683855	0.883658	0.983524	1.27276	1.42091	1.83538	1.70584	2.20704	1.98426	2.56666
0.483721	0.623167	0.384297	0.483592	0.824323	1.06282	1.1369	1.46645	1.29306	1.66611	1.7043	2.19997	0.684741	0.882599	0.984503	1.27085	1.42136	1.83138	1.70721	2.2033	1.98461	2.56072
0.484404	0.622498	0.385362	0.483757	0.825585	1.0618	1.13809	1.46433	1.29457	1.66392	1.70463	2.19493	0.685625	0.881542	0.985484	1.26895	1.42181	1.82741	1.70858	2.19959	1.98498	2.55482
0.485088	0.621833	0.386428	0.483921	0.826845	1.06078	1.13928	1.46223	1.29609	1.66174	1.70496	2.18991	0.686507	0.880489	0.986468	1.26706	1.42226	1.82346	1.70996	2.19589	1.98534	2.54894
0.485773	0.621172	0.387494	0.484084	0.828103	1.05977	1.14047	1.46013	1.29762	1.65959	1.7053	2.18491	0.687387	0.879438	0.987454	1.26519	1.42271	1.81953	1.71133	2.19222	1.9857	2.5431
0.486459	0.620516	0.388559	0.484246	0.829358	1.05876	1.14165	1.45803	1.29915	1.65745	1.70563	2.17995	0.688265	0.87839	0.988442	1.26333	1.42316	1.81562	1.71271	2.18856	1.98607	2.53729
0.487146	0.619865	0.389625	0.484407	0.830611	1.05775	1.14283	1.45594	1.30069	1.65534	1.70597	2.175	0.689141	0.877344	0.989432	1.26148	1.42361	1.81173	1.71408	2.18493	1.98643	2.53151
0.487834	0.619217	0.39069	0.484567	0.831862	1.05674	1.144	1.45386	1.30224	1.65324	1.70631	2.17009	0.690015	0.876301	0.990424	1.25964	1.42407	1.80786	1.71546	2.18131	1.9868	2.52576
0.488523	0.618575	0.391755	0.484726	0.83311	1.05573	1.14517	1.45178	1.3038	1.65117	1.70665	2.1652	0.690888	0.875261	0.991419	1.25781	1.42453	1.80402	1.71684	2.17771	1.98717	2.52004
0.489213	0.617936	0.39282	0.484884	0.834356	1.05473	1.14634	1.44971	1.30536	1.64911	1.70699	2.16034	0.691758	0.874223	0.992415	1.256	1.42499	1.80019	1.71822	2.17413	1.98755	2.51435
0.489905	0.617303	0.393885	0.485042	0.8356	1.05373	1.14751	1.44765	1.30693	1.64707	1.70733	2.1555	0.692627	0.873188	0.993414	1.25419	1.42545	1.79639	1.7196	2.17057	1.98792	2.50869
0.490597	0.616673	0.394949	0.485198	0.836842	1.05273	1.14867	1.44559	1.30851	1.64506	1.70768	2.15069	0.693494	0.872156	0.994415	1.2524	1.42591	1.79261	1.72099	2.16703	1.9883	2.50306
0.49129	0.616048	0.396014	0.485354	0.838081	1.05173	1.14983	1.44354	1.31009	1.64306	1.70802	2.1459	0.694358	0.871127	0.995418	1.25062	1.42637	1.78884	1.72237	2.16351	1.98868	2.49746
0.491984	0.615427	0.397078	0.485508	0.839317	1.05073	1.15099	1.4415	1.31169	1.64108	1.70837	2.14114	0.695221	0.8701	0.996423	1.24885	1.42684	1.7851	1.72375	2.16001	1.98906	2.4919
0.492679	0.61481	0.398142	0.485662	0.840552	1.04974	1.15214	1.43946	1.31329	1.63912	1.70872	2.1364	0.696082	0.869076	0.997431	1.24709	1.4273	1.78138	1.72514	2.15652	1.98944	2.48635
0.493375	0.614198	0.399206	0.485815	0.841784	1.04875	1.15329	1.43743	1.31489	1.63717	1.70907	2.13169	0.696942	0.868054	0.99844	1.24535	1.42777	1.77768	1.72653	2.15305	1.98983	2.48084
0.494072	0.613589	0.40027	0.485966	0.843013	1.04775	1.15444	1.4354	1.31651	1.63525	1.70942	2.127	0.6978	0.867035	0.999451	1.24361	1.42824	1.77399	1.72792	2.1496	1.99021	2.47536
0.49477	0.612985	0.401334	0.486117	0.844241	1.04677	1.15558	1.43338	1.31813	1.63334	1.70977	2.12233	0.698655	0.866019	1.00046	1.24188	1.42872	1.77033	1.7293	2.14617	1.9906	2.46991
0.495469	0.612385	0.402398	0.486268	0.845465	1.04578	1.15673	1.43137	1.31976	1.63145	1.71013	2.11769	0.699509	0.865006	1.00148	1.24017	1.42919	1.76669	1.73069	2.14276	1.99099	2.46448
0.49617	0.611789	0.403461	0.486417	0.846688	1.04479	1.15787	1.42936	1.32139	1.62958	1.71048	2.11308	0.700361	0.863995	1.0025	1.23846	1.42966	1.76306	1.73208	2.13936	1.99139	2.45909
0.496871	0.611197	0.404525	0.486565	0.847908	1.04381	1.159	1.42736	1.32303	1.62772	1.71084	2.10849	0.701212	0.862987	1.00351	1.23677	1.43014	1.75946	1.73348	2.13598	1.99178	2.45372
0.497573	0.61061	0.405588	0.486713	0.849125	1.04283	1.16014	1.42536	1.32468	1.62589	1.7112	2.10392	0.702061	0.861981	1.00454	1.23509	1.43062	1.75587	1.73487	2.13262	1.99218	2.44838
0.498276	0.610026	0.406651	0.48686	0.85034	1.04185	1.16127	1.42337	1.32633	1.62406	1.71156	2.09937	0.702908	0.860978	1.00556	1.23341	1.4311	1.75231	1.73626	2.12927	1.99258	2.44307
0.49898	0.609446	0.407714	0.487005	0.851553	1.04087	1.1624	1.42139	1.328	1.62226	1.71192	2.09485	0.703753	0.859978	1.00658	1.23175	1.43158	1.74876	1.73766	2.12595	1.99298	2.43778
0.499686	0.60887	0.408777	0.48715	0.852763	1.03989	1.16353	1.41942	1.32966	1.62047	1.71229	2.09035	0.704597	0.858981	1.00761	1.2301	1.43207	1.74523	1.73905	2.12263	1.99338	2.43253
0.500392	0.608299	0.40984	0.487295	0.853971	1.03891	1.16465	1.41745	1.33134	1.6187	1.71265	2.08588	0.705439	0.857986	1.00864	1.22845	1.43255	1.74172	1.74045	2.11934	1.99379	2.4273
0.501099	0.607731	0.410902	0.487438	0.855176	1.03794	1.16578	1.41548	1.33302	1.61694	1.71302	2.08142	0.70628	0.856994	1.00967	1.22682	1.43304	1.73823	1.74184	2.11606	1.99419	2.4221
0.501808	0.607167	0.411965	0.487581	0.856379	1.03697	1.1669	1.41353	1.3347	1.6152	1.71339	2.07699	0.707118	0.856004	1.0107	1.2252	1.43353	1.73475	1.74324	2.1128	1.9946	2.41692
0.502517	0.606607	0.413027	0.487723	0.857579	1.036	1.16802	1.41158	1.3364	1.61348	1.71375	2.07259	0.707955	0.855018	1.01173	1.22358	1.43402	1.7313	1.74464	2.10955	1.99502	2.41177
0.503227	0.60605	0.414089	0.487863	0.858777	1.03503	1.16913	1.40963	1.3381	1.61177	1.71413	2.0682	0.708791	0.854034	1.01276	1.22198	1.43451	1.72786	1.74604	2.10632	1.99543	2.40665
0.503939	0.605498	0.415151	0.488004	0.859972	1.03406	1.17025	1.4077	1.3398	1.61008	1.7145	2.06384	0.709625	0.853052	1.0138	1.22038	1.435	1.72444	1.74744	2.1031	1.99585	2.40156
0.504651	0.604949	0.416213	0.488143	0.861165	1.03309	1.17136	1.40577	1.34151	1.6084	1.71487	2.0595	0.710457	0.852073	1.01484	1.2188	1.4355	1.72104	1.74884	2.09991	1.99627	2.39649
0.505364	0.604404	0.417275	0.488282	0.862355	1.03213	1.17247	1.40384	1.34323	1.60673	1.71525	2.05518	0.711288	0.851097	1.01588	1.21722	1.43599	1.71765	1.75024	2.09672	1.99669	2.39144
0.506079	0.603863	0.418337	0.488419	0.863543	1.03117	1.17357	1.40192	1.34496	1.60509	1.71562	2.05088	0.712118	0.850124	1.01692	1.21565	1.43649	1.71429	1.75164	2.09355	1.99711	2.38643
0.506794	0.603326	0.419398	0.488556	0.864729	1.0302	1.17468	1.40001	1.34669	1.60345	1.716	2.04661	0.712945	0.849153	1.01796	1.21409	1.43699	1.71094	1.75304	2.0904	1.99754	2.38144
0.507511	0.602792	0.420459	0.488693	0.865912	1.02924	1.17578	1.39811	1.34842	1.60183	1.71638	2.04235	0.713772	0.848185	1.01901	1.21254	1.43749	1.70761	1.75444	2.08726	1.99796	2.37647
0.508228	0.602262	0.421521	0.488828	0.867092	1.02829	1.17688	1.39621	1.35016	1.60023	1.71676	2.03812	0.714597	0.84722	1.02005	1.211	1.438	1.70429	1.75585	2.08414	1.99839	2.37153
0.508947	0.601735	0.422582	0.488963	0.86827	1.02733	1.17798	1.39432	1.35191	1.59864	1.71715	2.03391	0.71542	0.846257	1.0211	1.20947	1.4385	1.70099	1.75725	2.08103	1.99883	2.36662
0.509667	0.601212	0.423643	0.489097	0.869445	1.02637	1.17908	1.39243	1.35366	1.59706	1.71753	2.02972	0.716242	0.845297	1.02215	1.20795	1.43901	1.69771	1.75865	2.07794	1.99926	2.36173
0.510387	0.600693	0.424704	0.48923	0.870618	1.02542	1.18018	1.39055	1.35542	1.59549	1.71792	2.02555	0.717062	0.844339	1.0232	1.20643	1.43952	1.69445	1.76006	2.07486	1.9997	2.35687
0.511109	0.600177	0.425764	0.489363	0.871788	1.02446	1.18127	1.38868	1.35718	1.59394	1.71831	2.0214	0.717881	0.843385	1.02425	1.20493	1.44003	1.69121	1.76146	2.0718	2.00014	2.35203
0.511832	0.599665	0.426825	0.489494	0.872956	1.02351	1.18237	1.38682	1.35895	1.59241	1.7187	2.01727	0.718699	0.842433	1.0253	1.20343	1.44054	1.68798	1.76287	2.06875		
0.512555	0.599156	0.427885	0.489625	0.874122	1.02256	1.18346	1.38496	1.36072	1.59088	1.71909	2.01317	0.719515	0.841483	1.02636	1.20194	1.44105	1.68476	1.76428	2.06572		
0.51328	0.598651	0.428946	0.489756	0.875284	1.02161	1.18455	1.38311	1.3625	1.58937	1.71948	2.00908	0.72033	0.840536	1.02741	1.20046	1.44157	1.68157	1.76568	2.06269		
0.514006	0.598149	0.430006	0.489885	0.876445	1.02066	1.18564	1.38126	1.36429	1.58788	1.71987	2.00501	0.721144	0.839592	1.02847	1.19899	1.44209	1.67839	1.76709	2.05969		
0.514732	0.597651	0.431066	0.490014	0.877602	1.01972	1.18672	1.37942	1.36608	1.58639	1.72027	2.00097	0.721956	0.838651	1.02953	1.19752	1.44261	1.67522	1.76849	2.05669		
0.51546	0.597156	0.432126	0.490142	0.878757	1.01877	1.18781	1.37759	1.36787	1.58492	1.72067	1.99694	0.722766	0.837712	1.03058	1.19607	1.44313	1.67207	1.7699	2.05372		
0.516189	0.596665	0.433186	0.49027	0.87991	1.01783	1.18889	1.37576	1.36967	1.58346	1.72107	1.99293	0.723576	0.836776	1.03165	1.19462	1.44365	1.66894	1.77131	2.05075		
0.516919	0.596177	0.434245	0.490396	0.88106	1.01688	1.18998	1.37394	1.37148	1.58201	1.72147	1.98895	0.724384	0.835843	1.03271	1.19318	1.44417	1.66583	1.77272	2.0478		
0.51765	0.595692	0.435305	0.490522	0.882208	1.01594	1.19106	1.37213	1.37329	1.58058	1.72187	1.98498	0.725191	0.834912	1.03377	1.19175	1.4447	1.66273	1.77412	2.04486		
0.518381	0.59521	0.436364	0.490648	0.883353	1.015	1.19214	1.37032	1.37511	1.57915	1.72228	1.98103	0.725997	0.833984	1.03483	1.19032	1.44523	1.65964	1.77553	2.04193		
0.519114	0.594732	0.437424	0.490772	0.884496	1.01406	1.19322	1.36852	1.37692	1.57774	1.72268	1.97711	0.726801	0.833059	1.0359	1.1889	1.44576	1.65657	1.77694	2.03902		
0.519848	0.594257	0.438483	0.490896	0.885636	1.01313	1.19429	1.36673	1.37875	1.57634	1.72309	1.9732	0.727604	0.832136	1.03697	1.18749	1.44629	1.65352	1.77835	2.03612		
0.520583	0.593786	0.439542	0.49102	0.886773	1.01219	1.19537	1.36494	1.38058	1.57495	1.7235	1.96931	0.728406	0.831216	1.03803	1.18609	1.44682	1.65048	1.77976	2.03323		
0.521319	0.593317	0.440601	0.491142	0.887908	1.01126	1.19645	1.36316	1.38241	1.57358	1.72391	1.96544	0.729207	0.830299	1.0391	1.18469	1.44735	1.64746	1.78116	2.03036		
0.522056	0.592852	0.441659	0.491264	0.88904	1.01032	1.19752	1.36139	1.38425	1.57221	1.72432	1.96159	0.730006	0.829384	1.04017	1.18331	1.44789	1.64445	1.78257	2.0275		
0.522794	0.59239	0.442718	0.491386	0.89017	1.00939	1.19859	1.35962	1.38609	1.57086	1.72474	1.95775	0.730804	0.828472	1.04124	1.18193	1.44843	1.64146	1.78398	2.02465		
0.523533	0.591931	0.443776	0.491506	0.891298	1.00846	1.19967	1.35786	1.38794	1.56951	1.72515	1.95394	0.731601	0.827563	1.04231	1.18055	1.44897	1.63849	1.78539	2.02181		
0.524273	0.591475	0.444835	0.491626	0.892423	1.00753	1.20074	1.35611	1.38979	1.56818	1.72557	1.95015	0.732397	0.826656	1.04338	1.17919	1.44951	1.63552	1.7868	2.01899		
0.525014	0.591022	0.445893	0.491745	0.893545	1.0066	1.20181	1.35436	1.39165	1.56686	1.72599	1.94637	0.733192	0.825752	1.04446	1.17783	1.45005	1.63258	1.7882	2.01618		
0.525756	0.590573	0.446951	0.491864	0.894665	1.00567	1.20288	1.35262	1.39351	1.56555	1.72641	1.94261	0.733986	0.824851	1.04553	1.17647	1.4506	1.62964	1.78961	2.01338		
0.526498	0.590126	0.448009	0.491982	0.895782	1.00474	1.20395	1.35089	1.39538	1.56425	1.72684	1.93887	0.734778	0.823952	1.04661	1.17513	1.45114	1.62673	1.79102	2.01059		
0.527242	0.589683	0.449067	0.4921	0.896897	1.00382	1.20501	1.34916	1.39725	1.56296	1.72726	1.93515	0.73557	0.823056	1.04768	1.17379	1.45169	1.62382	1.79243	2.00782		
0.527987	0.589243	0.450125	0.492216	0.898009	1.00289	1.20608	1.34744	1.39912	1.56168	1.72769	1.93145	0.73636	0.822162	1.04876	1.17246	1.45224	1.62094	1.79383	2.00505		
0.528733	0.588805	0.451183	0.492332	0.899119	1.00197	1.20715	1.34572	1.401	1.56041	1.72812	1.92776	0.73715	0.821272	1.04984	1.17113	1.45279	1.61806	1.79524	2.0023		
0.52948	0.588371	0.45224	0.492448	0.900226	1.00105	1.20821	1.34402	1.40288	1.55914	1.72855	1.92409	0.737938	0.820383	1.05092	1.16981	1.45335	1.6152	1.79665	1.99956		
0.530228	0.587939	0.453298	0.492563	0.901331	1.00013	1.20928	1.34232	1.40476	1.55789	1.72898	1.92044	0.738725	0.819498	1.05199	1.1685	1.4539	1.61236	1.79805	1.99683		
0.530977	0.587511	0.454355	0.492677	0.902434	0.999209	1.21034	1.34062	1.40665	1.55665	1.72941	1.91681	0.739511	0.818615	1.05307	1.16719	1.45446	1.60952	1.79946	1.99411		
0.531727	0.587085	0.455412	0.492791	0.903533	0.99829	1.21141	1.33893	1.40854	1.55542	1.72985	1.9132	0.740297	0.817735	1.05416	1.1659	1.45502	1.60671	1.80086	1.9914		
0.532478	0.586662	0.456469	0.492904	0.904631	0.997373	1.21247	1.33725	1.41044	1.5542	1.73029	1.9096	0.741081	0.816858	1.05524	1.1646	1.45558	1.6039	1.80227	1.9887		
0.53323	0.586243	0.457526	0.493016	0.905726	0.996457	1.21353	1.33558	1.41234	1.55299	1.73073	1.90602	0.741864	0.815983	1.05632	1.16332	1.45614	1.60111	1.80367	1.98602		
0.533982	0.585826	0.458582	0.493128	0.906818	0.995542	1.21459	1.33391	1.41425	1.55178	1.73117	1.90246	0.742646	0.815111	1.0574	1.16203	1.45671	1.59834	1.80508	1.98334		
0.534736	0.585411	0.459639	0.493239	0.907908	0.994629	1.21565	1.33225	1.41615	1.55059	1.73161	1.89891	0.743428	0.814241	1.05848	1.16076	1.45727	1.59558	1.80648	1.98068		
0.535491	0.585	0.460696	0.49335	0.908995	0.993716	1.21671	1.33059	1.41807	1.5494	1.73206	1.89538	0.744208	0.813374	1.05957	1.15949	1.45784	1.59283	1.80788	1.97803		
0.536247	0.584592	0.461752	0.49346	0.91008	0.992805	1.21777	1.32894	1.41998	1.54823	1.7325	1.89187	0.744987	0.81251	1.06065	1.15823	1.45841	1.59009	1.80928	1.97538		
0.537003	0.584186	0.462808	0.49357	0.911162	0.991894	1.21883	1.3273	1.4219	1.54706	1.73295	1.88838	0.745766	0.811649	1.06174	1.15697	1.45898	1.58737	1.81068	1.97275		
0.537761	0.583783	0.463865	0.493678	0.912242	0.990985	1.21989	1.32566	1.42382	1.5459	1.7334	1.8849	0.746544	0.81079	1.06282	1.15572	1.45955	1.58466	1.81209	1.97013		
0.53852	0.583382	0.464921	0.493787	0.91332	0.990077	1.22095	1.32403	1.42575	1.54475	1.73386	1.88144	0.747321	0.809934	1.06391	1.15448	1.46013	1.58197	1.81348	1.96752		
0.539279	0.582985	0.465976	0.493895	0.914395	0.98917	1.22201	1.32241	1.42768	1.54361	1.73431	1.87799	0.748096	0.80908	1.065	1.15324	1.46071	1.57929	1.81488	1.96492		
0.54004	0.58259	0.467032	0.494002	0.915467	0.988265	1.22307	1.32079	1.42961	1.54247	1.73477	1.87456	0.748872	0.808229	1.06608	1.152	1.46128	1.57662	1.81628	1.96232		
0.540802	0.582198	0.468088	0.494108	0.916538	0.98736	1.22413	1.31918	1.43154	1.54135	1.73523	1.87115	0.749646	0.807381	1.06717	1.15078	1.46186	1.57396	1.81768	1.95974		
0.541564	0.581808	0.469143	0.494214	0.917605	0.986457	1.22518	1.31758	1.43348	1.54023	1.73569	1.86776	0.750419	0.806535	1.06826	1.14955	1.46245	1.57132	1.81907	1.95717		
0.542328	0.581421	0.470199	0.49432	0.91867	0.985554	1.22624	1.31598	1.43542	1.53912	1.73615	1.86438	0.751192	0.805692	1.06935	1.14834	1.46303	1.56869	1.82047	1.95461		
0.543092	0.581037	0.471254	0.494425	0.919733	0.984653	1.2273	1.31439	1.43737	1.53802	1.73662	1.86102	0.751963	0.804851	1.07044	1.14713	1.46362	1.56607	1.82186	1.95205		
0.543857	0.580655	0.472309	0.494529	0.920794	0.983753	1.22836	1.3128	1.43931	1.53692	1.73708	1.85767	0.752734	0.804013	1.07153	1.14592	1.4642	1.56347	1.82326	1.94951		
